Date;Close(DEGOV3MZ=R);Close(DEGOV6MZ=R);Close(DEGOV1YZ=R);Close(DEGOV2YZ=R);Close(DEGOV3YZ=R);Close(DEGOV4YZ=R);Close(DEGOV5YZ=R);Close(DEGOV6YZ=R);Close(DEGOV7YZ=R);Close(DEGOV8YZ=R);Close(DEGOV9YZ=R);Close(DEGOV10YZ=R);Close(DEGOV15YZ=R);Close(DEGOV20YZ=R);Close(DEGOV30YZ=R)
02-01-2019;-0.711;-0.642;-0.668533;-0.648123;-0.566267;-0.458881;-0.342973;-0.226121;-0.113074;-0.004519;0.097836;0.191558;0.513;0.695;0.84
03-01-2019;-0.677;-0.642;-0.668338;-0.658914;-0.583207;-0.479395;-0.365907;-0.25024;-0.135885;-0.025568;0.078238;0.173491;0.507;0.693;0.843
04-01-2019;-0.618;-0.646;-0.653589;-0.635761;-0.553711;-0.443868;-0.324083;-0.20274;-0.083908;0.02999;0.136939;0.232923;0.563;0.748;0.895
07-01-2019;-0.62;-0.641;-0.646785;-0.620717;-0.538006;-0.427919;-0.307937;-0.187424;-0.06998;0.042933;0.147578;0.24282;0.575;0.76;0.907
08-01-2019;-0.638;-0.64;-0.641307;-0.610428;-0.526033;-0.41449;-0.293609;-0.172546;-0.054198;0.057844;0.162378;0.257589;0.579;0.763;0.911
09-01-2019;-0.637;-0.637;-0.637574;-0.615856;-0.535995;-0.427138;-0.307665;-0.186594;-0.069469;0.04252;0.147383;0.242705;0.575;0.759;0.907
10-01-2019;-0.626;-0.634;-0.637869;-0.617193;-0.541919;-0.43787;-0.322204;-0.203578;-0.086099;0.027146;0.133382;0.230313;0.556;0.741;0.89
11-01-2019;-0.609;-0.638;-0.630599;-0.613943;-0.540935;-0.440437;-0.327642;-0.211429;-0.096489;0.014358;0.11905;0.213558;0.543;0.729;0.881
14-01-2019;-0.626;-0.605;-0.630966;-0.618691;-0.549457;-0.45078;-0.337837;-0.220571;-0.103822;0.009773;0.115723;0.212374;0.541;0.729;0.877
15-01-2019;-0.62;-0.607;-0.645599;-0.639849;-0.57602;-0.480294;-0.368689;-0.250987;-0.132122;-0.017737;0.089711;0.187729;0.524;0.713;0.863
16-01-2019;-0.592;-0.61;-0.63854;-0.626202;-0.557403;-0.459337;-0.347341;-0.229773;-0.113014;0.000396;0.107515;0.205271;0.543;0.732;0.881
17-01-2019;-0.59;-0.603;-0.628504;-0.613608;-0.541233;-0.439945;-0.326813;-0.209542;-0.09217;0.021606;0.128577;0.226239;0.556;0.742;0.891
18-01-2019;-0.602;-0.601;-0.61708;-0.606746;-0.529645;-0.424158;-0.307755;-0.188638;-0.070901;0.042607;0.149587;0.245862;0.578;0.763;0.913
21-01-2019;-0.596;-0.604;-0.621969;-0.603835;-0.529297;-0.426472;-0.311413;-0.19306;-0.075537;0.038651;0.144974;0.241857;0.576;0.759;0.908
22-01-2019;-0.603;-0.6;-0.628078;-0.610811;-0.538728;-0.438343;-0.326011;-0.210045;-0.093608;0.018766;0.125008;0.222574;0.551;0.732;0.88
23-01-2019;-0.598;-0.596;-0.62479;-0.608157;-0.53708;-0.439404;-0.330152;-0.216613;-0.103932;0.006074;0.110772;0.207026;0.538;0.718;0.869
24-01-2019;-0.598;-0.595;-0.625684;-0.610169;-0.548294;-0.45961;-0.358357;-0.251762;-0.143552;-0.03702;0.064671;0.158858;0.489;0.667;0.819
25-01-2019;-0.598;-0.595;-0.622167;-0.59751;-0.525926;-0.432594;-0.329353;-0.223024;-0.116872;-0.012988;0.086552;0.177519;0.49;0.665;0.817
28-01-2019;-0.578;-0.58;-0.619604;-0.598502;-0.527972;-0.434155;-0.329328;-0.221057;-0.11269;-0.006064;0.094565;0.187348;0.509;0.689;0.845
29-01-2019;-0.583;-0.576;-0.60633;-0.588398;-0.522809;-0.433783;-0.332951;-0.227639;-0.121722;-0.017513;0.082881;0.175236;0.503;0.685;0.842
30-01-2019;-0.576;-0.57;-0.60285;-0.582384;-0.51684;-0.428695;-0.329999;-0.227106;-0.124477;-0.023406;0.073737;0.163935;0.486;0.667;0.824
31-01-2019;-0.574;-0.566;-0.599385;-0.581634;-0.521814;-0.439284;-0.346077;-0.248163;-0.148523;-0.049803;0.045293;0.134297;0.45;0.631;0.79
01-02-2019;-0.564;-0.557;-0.606994;-0.596678;-0.535338;-0.449036;-0.350542;-0.246973;-0.142294;-0.039229;0.059809;0.150526;0.475;0.659;0.818
04-02-2019;-0.561;-0.546;-0.593613;-0.584443;-0.521101;-0.432902;-0.33346;-0.230226;-0.126449;-0.023917;0.073297;0.163455;0.482;0.665;0.823
05-02-2019;-0.553;-0.544;-0.600811;-0.582285;-0.520471;-0.435515;-0.339208;-0.23867;-0.136644;-0.036802;0.059103;0.148738;0.477;0.657;0.819
06-02-2019;-0.551;-0.537;-0.579901;-0.567221;-0.508239;-0.425156;-0.331279;-0.233067;-0.134679;-0.037166;0.057358;0.146048;0.468;0.653;0.81
07-02-2019;-0.551;-0.54;-0.594627;-0.589094;-0.539974;-0.463793;-0.374247;-0.278533;-0.180222;-0.082247;0.012539;0.101627;0.425;0.616;0.775
08-02-2019;-0.532;-0.528;-0.58177;-0.58971;-0.552637;-0.485488;-0.401873;-0.309977;-0.214297;-0.117802;-0.023095;0.065297;0.394;0.583;0.745
11-02-2019;-0.538;-0.546;-0.578531;-0.585321;-0.546847;-0.476977;-0.388938;-0.291778;-0.190566;-0.088531;0.009287;0.100631;0.433;0.627;0.787
12-02-2019;-0.544;-0.552;-0.571687;-0.572621;-0.530247;-0.45767;-0.368577;-0.271785;-0.171322;-0.071774;0.024497;0.11489;0.446;0.641;0.799
13-02-2019;-0.549;-0.573;-0.569054;-0.564444;-0.524069;-0.455081;-0.369645;-0.275523;-0.178399;-0.08072;0.014483;0.103948;0.435;0.63;0.789
14-02-2019;-0.556;-0.602;-0.573187;-0.56172;-0.521965;-0.456277;-0.375001;-0.285337;-0.19132;-0.096372;-0.003793;0.08362;0.407;0.601;0.758
15-02-2019;-0.548;-0.591;-0.583745;-0.568175;-0.526691;-0.461452;-0.38009;-0.289321;-0.193682;-0.096826;-0.002023;0.085985;0.411;0.605;0.762
18-02-2019;-0.557;-0.603;-0.592704;-0.576679;-0.532858;-0.464763;-0.380835;-0.288139;-0.19074;-0.091592;0.004209;0.094233;0.43;0.626;0.786
