,date,ticker,price,action,amount,share_change,shares_owned,daily_return,value_ticker,weight_ticker
96,2021-10-07,AAPL,142.0386962890625,None,,0,1409,0.009084488682465697,200132.52307128906,1.4490196137311449e-05
97,2021-10-08,AAPL,141.65208435058594,None,,0,1409,-0.0027218775487052316,199587.7868499756,1.4450755597768965e-05
98,2021-10-11,AAPL,141.56289672851562,None,,0,1409,-0.0006296244949673957,199462.12149047852,1.4441657048073823e-05
99,2021-10-12,AAPL,140.2742156982422,None,,0,1409,-0.00910324004421037,197646.36991882324,1.4310191177329045e-05
100,2021-10-13,AAPL,139.6794891357422,None,,0,1409,-0.004239742560952053,196808.40019226074,1.4249519650739162e-05
101,2021-10-14,AAPL,142.5045928955078,None,,0,1409,0.020225616353881204,200788.9713897705,1.4537724968422103e-05
102,2021-10-15,AAPL,143.5751495361328,None,,0,1409,0.007512436047657722,202297.38569641113,1.464693869752581e-05
103,2021-10-18,AAPL,145.2702178955078,None,,0,1409,0.01180614030249294,204685.7370147705,1.4819862510790814e-05
104,2021-10-19,AAPL,147.4608917236328,None,,0,1409,0.015079992718815438,207772.39643859863,1.5043345929547387e-05
105,2021-10-20,AAPL,147.95654296875,None,,0,1409,0.003361238626212293,208470.76904296875,1.5093910204953256e-05
106,2021-10-21,AAPL,148.17462158203125,None,,0,1409,0.0014739369338152564,208778.04180908203,1.5116157676680026e-05
107,2021-10-22,AAPL,147.39154052734375,None,,0,1409,-0.005284852738793533,207674.68060302734,1.5036271009382388e-05
108,2021-10-25,AAPL,147.3419647216797,None,,0,1409,-0.00033635448470570317,207604.82829284668,1.5031213492195131e-05
109,2021-10-26,AAPL,148.0160369873047,None,,0,1409,0.004574883108816152,208554.5961151123,1.5099979536905585e-05
110,2021-10-27,AAPL,147.55014038085938,None,,0,1409,-0.0031476089748658787,207898.14779663086,1.505245070579493e-05
111,2021-10-28,AAPL,151.23765563964844,None,,0,1409,0.024991607932535853,213093.85679626465,1.5428635652257978e-05
112,2021-10-29,AAPL,148.4918212890625,None,,0,1409,-0.01815575849131379,209224.97619628906,1.514851706950511e-05
113,2021-11-01,AAPL,147.65916442871094,None,,0,1409,-0.005607425736469773,208051.7626800537,1.5063572885020214e-05
114,2021-11-02,AAPL,148.7099151611328,None,,0,1409,0.007116054980313535,209532.27046203613,1.517076609786998e-05
115,2021-11-03,AAPL,150.16709899902344,None,,0,1409,0.009798834437580783,211585.44248962402,1.5319421923154272e-05
116,2021-11-04,AAPL,149.64173889160156,None,,0,1409,-0.0034985034066968845,210845.2100982666,1.526582687336749e-05
117,2021-11-05,AAPL,150.1777801513672,None,,0,1409,0.003582164065561555,211600.49223327637,1.532051156982435e-05
118,2021-11-08,AAPL,149.34390258789062,None,,0,1409,-0.005552602806061513,210425.5587463379,1.5235442854291445e-05
119,2021-11-09,AAPL,149.71119689941406,None,,0,1409,0.0024593860556663127,210943.0764312744,1.527291268999919e-05
120,2021-11-10,AAPL,146.84225463867188,None,,0,1409,-0.019163177639076268,206900.73678588867,1.4980235151054633e-05
121,2021-11-11,AAPL,146.7926025390625,None,,0,1409,-0.0003381322340191284,206830.77697753906,1.4975169850676875e-05
122,2021-11-12,AAPL,148.89718627929688,None,,0,1409,0.014337123968316767,209796.1354675293,1.5189870717272629e-05
123,2021-11-15,AAPL,148.9071044921875,None,,0,1409,6.661115054273914e-05,209810.1102294922,1.51908825320377e-05
124,2021-11-16,AAPL,149.89981079101562,None,,0,1409,0.0066666147475871185,211208.83340454102,1.5292154293554646e-05
125,2021-11-17,AAPL,152.37167358398438,None,,0,1409,0.01649009948661595,214691.68807983398,1.5544323439220043e-05
126,2021-11-18,AAPL,156.71974182128906,None,,0,1409,0.02853593542049082,220818.1162261963,1.5987895249036848e-05
127,2021-11-19,AAPL,159.38021850585938,None,,0,1409,0.016976014978407283,224566.72787475586,1.6259305998257702e-05
128,2021-11-22,AAPL,159.8468017578125,None,,0,1409,0.0029274853324157135,225224.1436767578,1.6306904878082863e-05
129,2021-11-23,AAPL,160.2339630126953,None,,0,1409,0.002422076955092445,225769.6538848877,1.634640145659695e-05
130,2021-11-24,AAPL,160.76011657714844,None,,0,1409,0.003283658186819194,226511.00425720215,1.640007745156494e-05
131,2021-11-26,AAPL,155.66748046875,None,,0,1409,-0.03167847981719085,219335.47998046875,1.5880547929015172e-05
132,2021-11-29,AAPL,159.07247924804688,None,,0,1409,0.021873539476862103,224133.12326049805,1.6227911721054687e-05
133,2021-11-30,AAPL,164.09561157226562,None,,0,1409,0.031577632711601966,231210.71670532227,1.6740350757058454e-05
134,2021-12-01,AAPL,163.56948852539062,None,,0,1409,-0.0032061981538323847,230469.4093322754,1.6686677875366665e-05
135,2021-12-02,AAPL,162.56683349609375,None,,0,1409,-0.006129841441310346,229056.6683959961,1.6584391185808446e-05
136,2021-12-03,AAPL,160.6608428955078,None,,0,1409,-0.011724350899851466,226371.1276397705,1.6389949964085624e-05
137,2021-12-06,AAPL,164.115478515625,None,,0,1409,0.02150266087153585,231238.70922851562,1.6742377499864796e-05
138,2021-12-07,AAPL,169.93276977539062,None,,0,1409,0.0354463290871847,239435.2726135254,1.733583332242688e-05
139,2021-12-08,AAPL,173.80438232421875,None,,0,1409,0.022783201579927415,244890.37469482422,1.7730799107567753e-05
140,2021-12-09,AAPL,173.2881622314453,None,,0,1409,-0.002970121270075121,244163.02058410645,1.767813648400294e-05
141,2021-12-10,AAPL,178.14251708984375,None,,0,1409,0.02801319372245925,251002.80657958984,1.817335754598139e-05
142,2021-12-13,AAPL,174.45957946777344,None,,0,1409,-0.02067410791222213,245813.54747009277,1.7797639590948372e-05
143,2021-12-14,AAPL,173.05984497070312,None,,0,1409,-0.008023259607414568,243841.3215637207,1.7654844508110995e-05
144,2021-12-15,AAPL,177.9936065673828,None,,0,1409,0.028508991196166233,250792.99165344238,1.8158166314762416e-05
145,2021-12-16,AAPL,171.00489807128906,None,,0,1409,-0.03926381756553732,240945.9013824463,1.74452073852549e-05
146,2021-12-17,AAPL,169.89306640625,None,,0,1409,-0.006501753327413762,239379.33056640625,1.7331782950090395e-05
147,2021-12-20,AAPL,168.51319885253906,None,,0,1409,-0.00812197685814553,237435.09718322754,1.719101461005936e-05
148,2021-12-21,AAPL,171.72959899902344,None,,0,1409,0.019086933061539968,241967.00498962402,1.751913835518152e-05
149,2021-12-22,AAPL,174.36029052734375,None,,0,1409,0.015318800857010428,245673.64935302734,1.7787510546830958e-05
150,2021-12-23,AAPL,174.99563598632812,None,,0,1409,0.003643865567456883,246568.85110473633,1.785232584404333e-05
151,2021-12-27,AAPL,179.01612854003906,None,,0,1409,0.02297481609212837,252233.72511291504,1.826247974712698e-05
152,2021-12-28,AAPL,177.98367309570312,None,,0,1409,-0.005767387847989469,250778.9953918457,1.8157152943359243e-05
153,2021-12-29,AAPL,178.07305908203125,None,,0,1409,0.000502214527734024,250904.94024658203,1.816627172934969e-05
154,2021-12-30,AAPL,176.90164184570312,sale_partial,750000.5,-704,705,-0.006578295685865099,124715.6575012207,9.02978841646203e-06
155,2021-12-30,AAPL,176.90164184570312,sale_partial,750000.5,-352,353,0.0,62446.2795715332,4.521298313490917e-06
156,2021-12-31,AAPL,176.27622985839844,None,,0,353,-0.003535365646013533,62225.50914001465,4.505313870758022e-06
157,2022-01-03,AAPL,180.6838836669922,None,,0,353,0.025004243692609007,63781.41093444824,4.6179658366941476e-06
158,2022-01-04,AAPL,178.3907012939453,None,,0,353,-0.012691681883887918,62971.917556762695,4.559356083344163e-06
159,2022-01-05,AAPL,173.64553833007812,None,,0,353,-0.02659983356446527,61296.87503051758,4.438077970366076e-06
160,2022-01-06,AAPL,170.7467803955078,None,,0,353,-0.016693535362020895,60273.61347961426,4.363990758828364e-06
161,2022-01-07,AAPL,170.91555786132812,None,,0,353,0.000988466461442794,60333.19192504883,4.368304417331512e-06
162,2022-01-10,AAPL,170.9354248046875,None,,0,353,0.0001162383554076385,60340.20495605469,4.3688121818529025e-06
163,2022-01-11,AAPL,173.80438232421875,None,,0,353,0.01678386749153571,61352.94696044922,4.442137746608529e-06
164,2022-01-12,AAPL,174.25108337402344,None,,0,353,0.002570136862092509,61510.63243103027,4.45355464857758e-06
165,2022-01-13,AAPL,170.9354248046875,None,,0,353,-0.019028051390756584,60340.20495605469,4.3688121818529025e-06
166,2022-01-14,AAPL,171.80902099609375,None,,0,353,0.005110679617197134,60648.584411621094,4.391139781222061e-06
167,2022-01-18,AAPL,168.56283569335938,None,,0,353,-0.018894149352077227,59502.68099975586,4.308172930369803e-06
168,2022-01-19,AAPL,165.0188446044922,None,,0,353,-0.02102474768112128,58251.65214538574,4.2175946815421415e-06
169,2022-01-20,AAPL,163.31137084960938,None,,0,353,-0.010347144042701206,57648.91390991211,4.173954621858494e-06
170,2022-01-21,AAPL,161.2266845703125,None,,0,353,-0.012765101832478143,56913.01965332031,4.120673666066327e-06
171,2022-01-24,AAPL,160.44244384765625,None,,0,353,-0.004864211682739428,56636.182678222656,4.100629837079091e-06
172,2022-01-25,AAPL,158.6158447265625,None,,0,353,-0.011384762518502622,55991.39318847656,4.0539451402076596e-06
173,2022-01-26,AAPL,158.5264892578125,None,,0,353,-0.0005633451620425944,55959.85070800781,4.051661369825738e-06
174,2022-01-27,AAPL,158.05990600585938,None,,0,353,-0.002943251024718818,55795.14682006836,4.039736313347185e-06
175,2022-01-28,AAPL,169.08895874023438,None,,0,353,0.0697776748897101,59688.402435302734,4.321619720460081e-06
176,2022-01-31,AAPL,173.50656127929688,None,,0,353,0.02612590775870305,61247.8161315918,4.434525958645013e-06
177,2022-02-01,AAPL,173.3378143310547,None,,0,353,-0.0009725681092287441,61188.248458862305,4.430213080118088e-06
178,2022-02-02,AAPL,174.55882263183594,None,,0,353,0.007044096555003598,61619.264389038086,4.46141992881368e-06
179,2022-02-03,AAPL,171.6402587890625,None,,0,353,-0.01671965815746257,60589.01135253906,4.386826512707024e-06
180,2022-02-04,AAPL,171.35198974609375,None,,0,353,-0.001679495504158024,60487.252380371094,4.379458857301411e-06
181,2022-02-07,AAPL,170.6263885498047,None,,0,353,-0.00423456533749178,60231.115158081055,4.360913752627311e-06
182,2022-02-08,AAPL,173.77732849121094,None,,0,353,0.018466896991648607,61343.39695739746,4.441446297686543e-06
183,2022-02-09,AAPL,175.2185821533203,None,,0,353,0.008293680623489674,61852.15950012207,4.478282234785937e-06
184,2022-02-10,AAPL,171.0836181640625,None,,0,353,-0.023598889675066625,60392.51721191406,4.372599746393412e-06
185,2022-02-11,AAPL,167.6245880126953,None,,0,353,-0.020218359820109222,59171.479568481445,4.284192951371512e-06
186,2022-02-14,AAPL,167.86314392089844,None,,0,353,0.001423155821179689,59255.68980407715,4.290290025509314e-06
187,2022-02-15,AAPL,171.7495880126953,None,,0,353,0.023152456227248264,60627.604568481445,4.389620777527118e-06
188,2022-02-16,AAPL,171.51104736328125,None,,0,353,-0.0013888862976279004,60543.39971923828,4.383524093377428e-06
189,2022-02-17,AAPL,167.86314392089844,None,,0,353,-0.02126920392863152,59255.68980407715,4.290290025509314e-06
190,2022-02-18,AAPL,166.2926483154297,None,,0,353,-0.00935580955286297,58701.30485534668,4.250150889104101e-06
191,2022-02-22,AAPL,163.3306121826172,None,,0,353,-0.017812189310942972,57655.70610046387,4.174446396867306e-06
192,2022-02-23,AAPL,159.10617065429688,None,,0,353,-0.02586435862737746,56164.4782409668,4.066477018187967e-06
193,2022-02-24,AAPL,161.7601318359375,None,,0,353,0.016680441561296222,57101.32653808594,4.134307650450205e-06
194,2022-02-25,AAPL,163.85740661621094,None,,0,353,0.012965337975865188,57841.66453552246,4.187910346434497e-06
195,2022-02-28,AAPL,164.12576293945312,None,,0,353,0.0016377430156131467,57936.39431762695,4.194769067354385e-06
196,2022-03-01,AAPL,162.2173309326172,None,,0,353,-0.01162786373483593,57262.71781921387,4.145992864240083e-06
197,2022-03-02,AAPL,165.55709838867188,None,,0,353,0.02058822837765706,58441.65573120117,4.231351512181194e-06
198,2022-03-03,AAPL,165.22909545898438,None,,0,353,-0.0019812072866695063,58325.870697021484,4.2229683277328004e-06
199,2022-03-04,AAPL,162.18751525878906,None,,0,353,-0.018408260311213454,57252.19288635254,4.1452308274698854e-06
200,2022-03-07,AAPL,158.3408203125,None,,0,353,-0.02371757739892133,55894.3095703125,4.046915994482974e-06
201,2022-03-08,AAPL,156.49200439453125,None,,0,353,-0.011676179991488844,55241.67755126953,3.9996634749209555e-06
202,2022-03-09,AAPL,161.96884155273438,None,,0,353,0.03499755261869808,57175.001068115234,4.139641907841586e-06
203,2022-03-10,AAPL,157.5655059814453,None,,0,353,-0.0271863126825872,55620.623611450195,4.027100308541063e-06
204,2022-03-11,AAPL,153.79832458496094,None,,0,353,-0.023908668163246327,54290.80857849121,3.930817703604048e-06
205,2022-03-14,AAPL,149.71307373046875,None,,0,353,-0.026562388540425363,52848.71502685547,3.826405796479335e-06
206,2022-03-15,AAPL,154.1561737060547,None,,0,353,0.02967743474150386,54417.129318237305,3.939963704798862e-06
207,2022-03-16,AAPL,158.62905883789062,None,,0,353,0.02901528381448304,55996.05776977539,4.054282869912364e-06
208,2022-03-17,AAPL,159.65286254882812,None,,0,353,0.006454074167985713,56357.46047973633,4.0804495122527715e-06
209,2022-03-18,AAPL,162.99264526367188,None,,0,353,0.02091902808082957,57536.40377807617,4.165808550181994e-06
210,2022-03-21,AAPL,164.3842315673828,None,,0,353,0.00853772451793633,58027.63374328613,4.201375075977911e-06
211,2022-03-22,AAPL,167.80349731445312,None,,0,353,0.02080044852519025,59234.63455200195,4.288765561980808e-06
